City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
67,blackmans bay,-43.0167,147.3167,284.67,72,100,2.77,AU,1691717327,11.520000000000039
68,hounde,11.5,-3.5167,295.33,97,100,2.74,BF,1691717327,22.180000000000007
69,san luis de la loma,17.2706,-100.8939,301.32,81,38,2.24,MX,1691717328,28.170000000000016
70,manismata,-2.4667,111.0333,299.34,73,87,1.77,ID,1691717328,26.189999999999998
71,isafjordur,66.0755,-23.124,279.69,89,47,4.51,IS,1691717328,6.5400000000000205
72,coari,-4.085,-63.1414,299.8,63,29,1.04,BR,1691717328,26.650000000000034
73,hirara,24.8,125.2833,304.3,74,75,2.06,JP,1691717328,31.150000000000034
74,gangapur,26.4833,76.7167,299.49,80,52,3.23,IN,1691717328,26.340000000000032
75,rongelap,11.1635,166.8941,301.52,74,100,6.44,MH,1691717329,28.370000000000005
76,hawaiian paradise park,19.5933,-154.9731,301.89,77,0,4.63,US,1691717329,28.74000000000001
77,najaf,31.9985,44.3398,309.49,17,6,4.32,IQ,1691717329,36.34000000000003
78,dokkum,53.3222,5.997,289.8,82,0,2.57,NL,1691717329,16.650000000000034
79,laojunmiao,39.8333,97.7333,296.09,33,32,0.85,CN,1691717329,22.939999999999998
80,chebarkul',54.9749,60.3633,284.57,94,97,2.32,RU,1691717329,11.420000000000016
81,revda,56.801,59.9303,285.66,73,100,1.38,RU,1691717330,12.510000000000048
82,bilibino,68.0546,166.4372,286.32,68,100,1.84,RU,1691717330,13.170000000000016
83,vadso,70.0744,29.7487,290.24,77,75,6.69,NO,1691717330,17.090000000000032
84,ibb,13.9667,44.1833,294.21,51,26,0.96,YE,1691717330,21.060000000000002
85,lihue,21.9789,-159.3672,303.92,61,20,6.17,US,1691717330,30.77000000000004
86,ketchikan,55.3422,-131.6461,289.41,88,100,6.17,US,1691717330,16.260000000000048
87,roswell,34.0232,-84.3616,300.21,83,75,2.06,US,1691717271,27.060000000000002
88,cannonvale,-20.2833,148.7,293.81,55,0,5.43,AU,1691717331,20.660000000000025
89,taoudenni,22.6783,-3.9836,311.26,9,0,7.78,ML,1691717331,38.110000000000014
90,naryn,41.4287,75.9911,288.53,45,0,1.56,KG,1691717331,15.379999999999995
91,torghay,49.6339,63.4981,292.24,60,29,6.64,KZ,1691717331,19.090000000000032
92,urangan,-25.3,152.9,291.77,67,0,4.25,AU,1691717331,18.620000000000005
93,stanley,54.868,-1.6985,291.98,87,0,1.54,GB,1691717331,18.83000000000004
94,nadi,-17.8,177.4167,295.15,83,100,3.09,FJ,1691717160,22.0
95,wynne,35.2245,-90.7868,299.02,85,11,2.01,US,1691717227,25.870000000000005
96,tarawa,1.419,172.984,303.2,79,40,2.57,KI,1691717332,30.05000000000001
97,atafu village,-8.5421,-172.5159,301.32,75,60,4.6,TK,1691717332,28.170000000000016
98,nagqu,31.5,92.0,281.87,82,100,0.97,CN,1691717332,8.720000000000027
99,east london,-33.0153,27.9116,291.3,58,0,4.78,ZA,1691717332,18.150000000000034
100,manacapuru,-3.2997,-60.6206,300.3,62,45,1.66,BR,1691717333,27.150000000000034
101,ancud,-41.8697,-73.8203,279.63,71,16,5.16,CL,1691717333,6.480000000000018
102,kingscliff,-28.2667,153.5667,298.1,31,0,4.63,AU,1691717333,24.950000000000045
103,remire-montjoly,4.9167,-52.2667,298.17,94,20,0.51,GF,1691717134,25.02000000000004
104,tejen,37.3834,60.5054,302.14,25,0,3.12,TM,1691717333,28.99000000000001
105,kampene,-3.6,26.6667,298.29,48,100,0.76,CD,1691717333,25.140000000000043
106,polyarnyy,69.1989,33.4478,288.51,88,0,4.18,RU,1691717333,15.360000000000014
107,vilyuchinsk,52.9306,158.4028,293.3,68,98,2.62,RU,1691717334,20.150000000000034
108,carbonear,47.7332,-53.2148,291.56,95,7,3.36,CA,1691717334,18.410000000000025
109,yellandu,17.6,80.3333,298.04,84,86,0.58,IN,1691717334,24.890000000000043
110,constantia,44.1833,28.65,293.54,59,95,6.15,RO,1691717101,20.390000000000043
111,kalmunai,7.4167,81.8167,299.34,79,98,3.2,LK,1691717181,26.189999999999998
112,hamilton,39.1834,-84.5333,297.09,78,20,2.57,US,1691717249,23.939999999999998
113,ust-nera,64.5667,143.2,296.13,37,60,0.77,RU,1691717334,22.980000000000018
114,matam,15.6175,-13.3303,303.34,60,98,8.97,SN,1691717335,30.189999999999998
115,kosh-agach,50.0,88.6667,287.1,56,100,1.01,RU,1691717335,13.950000000000045
116,olonkinbyen,70.9221,-8.7187,279.6,99,99,3.61,SJ,1691717122,6.4500000000000455
117,puerto armuelles,8.2833,-82.8667,300.42,91,100,1.34,PA,1691717335,27.27000000000004
118,rabaul,-4.1967,152.1721,299.47,76,100,7.61,PG,1691717335,26.32000000000005
119,st. john's,47.5649,-52.7093,291.3,94,75,3.09,CA,1691717178,18.150000000000034
120,antalaha,-14.9003,50.2788,291.89,91,9,2.44,MG,1691717336,18.74000000000001
121,zywiec,49.6853,19.1924,285.37,100,64,1.69,PL,1691717336,12.220000000000027
122,egilsstadir,65.2653,-14.3948,280.1,93,75,3.09,IS,1691717336,6.9500000000000455
123,northam,51.0333,-4.2167,291.7,97,47,5.79,GB,1691717336,18.55000000000001
124,nemuro,43.3236,145.575,293.85,93,100,6.56,JP,1691717337,20.700000000000045
125,bredasdorp,-34.5322,20.0403,285.51,72,0,0.97,ZA,1691717337,12.360000000000014
126,saipan,15.1355,145.701,300.54,100,100,5.36,MP,1691717337,27.390000000000043
127,tiksi,71.6872,128.8694,292.65,39,7,5.06,RU,1691717337,19.5
128,qaqortoq,60.7167,-46.0333,279.82,78,100,0.56,GL,1691717338,6.670000000000016
129,nantucket,41.2835,-70.0995,296.48,75,40,5.66,US,1691717338,23.33000000000004
130,muravlenko,63.7898,74.523,281.45,76,16,10.06,RU,1691717338,8.300000000000011
131,minas de marcona,-15.2119,-75.1103,285.62,89,86,6.68,PE,1691717338,12.470000000000027
132,buka,40.8108,69.1986,295.8,35,0,1.28,UZ,1691717338,22.650000000000034
133,palmer,42.1584,-72.3287,294.8,84,100,3.09,US,1691717338,21.650000000000034
134,puerto leguizamo,-0.1934,-74.7819,297.94,83,26,0.86,CO,1691717339,24.79000000000002
135,kodiak,57.79,-152.4072,286.88,88,100,2.06,US,1691717300,13.730000000000018
136,quellon,-43.1167,-73.6167,279.29,81,40,3.09,CL,1691717339,6.140000000000043
137,houlton,46.1262,-67.8403,292.38,82,0,3.6,US,1691717133,19.230000000000018
138,utrik,11.2278,169.8474,301.2,75,2,5.27,MH,1691717086,28.05000000000001
139,al kharijah,25.4514,30.5464,302.75,25,0,4.23,EG,1691717339,29.600000000000023
140,san juan del sur,11.2529,-85.8705,301.82,74,100,3.65,NI,1691717339,28.670000000000016
141,ulsteinvik,62.3432,5.8487,286.35,89,100,2.68,NO,1691717340,13.200000000000045
142,dudinka,69.4058,86.1778,281.83,48,88,12.1,RU,1691717179,8.680000000000007
143,talnakh,69.4865,88.3972,281.6,61,100,8.11,RU,1691717340,8.450000000000045
144,huanggang,23.677,116.9996,298.09,88,99,2.87,CN,1691717340,24.939999999999998
145,wakkanai,45.4094,141.6739,290.42,96,75,5.14,JP,1691717340,17.27000000000004
146,christchurch,-43.5333,172.6333,283.66,67,61,2.57,NZ,1691717217,10.510000000000048
147,puerto ayora,-0.7393,-90.3518,297.9,94,65,1.79,EC,1691717135,24.75
148,upper grand lagoon,30.1633,-85.7408,303.73,80,0,5.66,US,1691717341,30.58000000000004
149,midvagur,62.0511,-7.1939,285.61,94,40,6.17,FO,1691717341,12.460000000000036
150,badger,64.8,-147.5333,294.25,68,20,1.54,US,1691717341,21.100000000000023
151,groznyy,43.3083,45.7003,297.37,73,0,2.0,RU,1691717265,24.220000000000027
152,aasiaat,68.7098,-52.8699,276.43,87,100,0.47,GL,1691717341,3.2800000000000296
153,bandar abbas,27.1865,56.2808,306.14,55,75,2.06,IR,1691717341,32.99000000000001
154,dzerzhinskoye,56.8344,95.2283,291.83,63,100,2.62,RU,1691717342,18.680000000000007
155,kapa'a,22.0752,-159.319,304.33,70,20,6.17,US,1691717342,31.180000000000007
156,sitka,57.0531,-135.33,289.09,82,100,3.6,US,1691717122,15.939999999999998
157,alice springs,-23.7,133.8833,294.9,23,0,3.09,AU,1691717342,21.75
158,geraldton,-28.7667,114.6,288.38,88,100,1.54,AU,1691717342,15.230000000000018
159,kokpekty,48.75,82.4,292.25,68,87,2.29,KZ,1691717342,19.100000000000023
160,miguel alves,-4.1656,-42.8953,300.41,53,100,1.73,BR,1691717343,27.260000000000048
161,anadyr,64.75,177.4833,284.43,76,100,1.0,RU,1691717136,11.28000000000003
162,eagle pass,28.7091,-100.4995,313.62,26,0,5.14,US,1691717323,40.47000000000003
163,zhanaozen,43.3,52.8,300.48,29,5,3.96,KZ,1691717343,27.33000000000004
164,morehead city,34.7229,-76.726,300.93,87,0,1.34,US,1691717084,27.78000000000003
165,lompoc,34.6391,-120.4579,298.71,86,100,1.54,US,1691717343,25.560000000000002
166,iqaluit,63.7506,-68.5145,279.0,93,75,3.6,CA,1691717344,5.850000000000023
167,passo fundo,-28.2628,-52.4067,289.96,91,53,5.13,BR,1691717344,16.810000000000002
168,lamu,-2.2717,40.902,298.27,86,22,5.71,KE,1691717344,25.120000000000005
169,brisas de zicatela,15.8369,-97.0419,303.44,62,75,0.0,MX,1691717344,30.29000000000002
170,al 'amarah,31.8406,47.1396,310.97,12,2,2.91,IQ,1691717344,37.82000000000005
171,codrington,-38.2667,141.9667,286.0,73,100,6.03,AU,1691717140,12.850000000000023
172,carnarvon,-24.8667,113.6333,293.19,71,6,2.08,AU,1691717345,20.04000000000002
173,mugia,43.1041,-9.2179,293.1,93,2,3.68,ES,1691717345,19.950000000000045
174,saint-quentin,49.8333,3.3333,291.2,78,0,2.97,FR,1691717345,18.05000000000001
175,vila franca do campo,37.7167,-25.4333,296.38,94,81,2.43,PT,1691717345,23.230000000000018
176,contamana,-7.3333,-75.0167,299.58,67,4,1.25,PE,1691717345,26.430000000000007
177,port moresby,-9.4431,147.1797,302.83,42,0,7.72,PG,1691717346,29.680000000000007
178,papatowai,-46.5619,169.4708,281.06,71,98,1.11,NZ,1691717101,7.910000000000025
179,keflavik,64.0049,-22.5624,287.1,88,0,5.14,IS,1691717346,13.950000000000045
180,al kharj,24.155,47.3346,304.47,25,1,2.75,SA,1691717346,31.32000000000005
181,igarka,67.4667,86.5833,284.11,92,100,6.65,RU,1691717346,10.960000000000036
182,kuala kangsar,4.7667,100.9333,300.11,91,48,0.62,MY,1691717347,26.960000000000036
183,yanam,16.7333,82.2167,299.96,75,100,1.79,IN,1691717347,26.810000000000002
184,laguna,38.421,-121.4238,308.45,37,0,5.14,US,1691717177,35.30000000000001
185,suva,-18.1416,178.4415,294.86,88,75,3.6,FJ,1691717347,21.710000000000036
186,alpine,32.835,-116.7664,299.47,67,0,4.12,US,1691717191,26.32000000000005
